snapped_at,price,market_cap,total_volume
2021-01-25 00:00:00 UTC,30.31266676992297,4363133.456511374,694728.0151211179
2021-01-26 00:00:00 UTC,35.887710140125265,5419841.267614352,1292751.3838232688
2021-01-27 00:00:00 UTC,39.56269009825879,6109462.568418061,513023.0425718234
2021-01-28 00:00:00 UTC,37.187502413076636,5645139.506536742,308572.71263457165
2021-01-29 00:00:00 UTC,37.006506216945006,5728053.555131299,213543.22685973934
2021-01-30 00:00:00 UTC,32.4958608517993,4982300.582002104,551639.890233534
2021-01-31 00:00:00 UTC,33.33805172241002,5236927.641880952,156282.4711578954
2021-02-01 00:00:00 UTC,38.07679556586053,5958386.8881580625,328717.83848564356
2021-02-02 00:00:00 UTC,37.206190721292195,5780658.162639771,163176.81926510303
2021-02-03 00:00:00 UTC,41.27393474210458,6470334.876801754,226944.43052953435
2021-02-04 00:00:00 UTC,46.59829833318603,7296924.886928977,287194.20272129733
2021-02-05 00:00:00 UTC,49.88127058486502,7874862.467209677,483486.8530087002
2021-02-06 00:00:00 UTC,62.73824590337819,9659494.097832767,1580175.1185643566
2021-02-07 00:00:00 UTC,86.51966680316688,13545280.226755338,1063104.1276798937
2021-02-08 00:00:00 UTC,81.8681789987769,11085744.860807542,1008967.999536883
2021-02-09 00:00:00 UTC,87.11757716614791,12389939.48098976,644311.8143155851
2021-02-10 00:00:00 UTC,94.09745007385455,13457371.130084813,845117.6790875911
2021-02-11 00:00:00 UTC,86.65548336553958,12457030.699190835,737999.942478205
2021-02-12 00:00:00 UTC,82.52378885335428,11821705.157994313,361096.91875814664
2021-02-13 00:00:00 UTC,79.82288586080057,11369354.415448159,365162.60181628045
2021-02-14 00:00:00 UTC,72.24384547854086,10225922.019717345,401375.65819440316
2021-02-15 00:00:00 UTC,69.82019785435779,9977194.832854794,446531.04653020366
2021-02-16 00:00:00 UTC,79.36339427935035,11418097.030798607,555873.2327626294
2021-02-17 00:00:00 UTC,75.04269460424432,10682774.520072117,391327.9326606716
2021-02-18 00:00:00 UTC,73.77154496782155,10532784.291060176,312570.9668887041
2021-02-19 00:00:00 UTC,79.67672201243049,11411363.931160478,287589.95226749545
2021-02-20 00:00:00 UTC,73.12724517379377,10462942.04582979,334044.0575217098
2021-02-21 00:00:00 UTC,75.24486014842698,10718192.898640553,470079.53228936443
2021-02-22 00:00:00 UTC,74.14360489358607,10631966.591414928,343724.3947227557
2021-02-23 00:00:00 UTC,72.174464166645,10212628.550894316,354596.2150954026
2021-02-24 00:00:00 UTC,59.35558756638287,8519034.030982187,334437.1696616515
2021-02-25 00:00:00 UTC,64.2684393549279,9204171.233020177,415510.6971568764
2021-02-26 00:00:00 UTC,60.287200758966264,8753121.180995986,432285.1379654605
2021-02-27 00:00:00 UTC,55.701111814032,8041180.921667849,425481.7357411054
2021-02-28 00:00:00 UTC,52.10926956597143,6975671.193361433,503529.4396439016
2021-03-01 00:00:00 UTC,49.8810051474045,6717904.740468442,546723.868536045
2021-03-02 00:00:00 UTC,63.93405544173184,8606468.161420584,491135.9596997739
2021-03-03 00:00:00 UTC,54.210299926992874,7298671.325112785,848502.133420213
2021-03-04 00:00:00 UTC,53.88916227190607,7811297.529567158,826402.0862315769
2021-03-05 00:00:00 UTC,50.92969353327455,7374230.6854668865,1039952.8015862156
2021-03-06 00:00:00 UTC,55.05150760296154,7804334.420014525,813910.6587466334
2021-03-07 00:00:00 UTC,58.17536222444185,8241214.847099818,711294.7514715926
2021-03-08 00:00:00 UTC,62.43889832851296,8829044.116688875,933053.1812067082
2021-03-09 00:00:00 UTC,62.32759168481718,8815455.45748746,762898.2437661723
2021-03-10 00:00:00 UTC,69.0854374397404,9739028.3823829,762493.0038360243
2021-03-11 00:00:00 UTC,63.428783905501234,9035242.825801544,731482.5674325917
2021-03-12 00:00:00 UTC,70.28240076084863,9253090.454721443,824416.1790476622
2021-03-13 00:00:00 UTC,74.18079498969087,9766477.562108206,764398.3825501897
2021-03-14 00:00:00 UTC,78.81969687474528,10650816.421530673,1140226.400603268
2021-03-15 00:00:00 UTC,70.88040182266393,9341146.005334197,810418.573398225
2021-03-16 00:00:00 UTC,67.44126753004608,8862482.130838605,871373.8575392189
2021-03-17 00:00:00 UTC,77.40798199008665,10225595.404988945,718668.520318249
2021-03-18 00:00:00 UTC,79.0490034315691,10439790.808881706,833899.11635766
